periodos,zona,viajeros_nacional,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla,pernoc_total_nacional,pernoc_andalucia,pernoc_aragon,pernoc_asturias,pernoc_balears,pernoc_canarias,pernoc_cantabria,pernoc_castilla_leon,pernoc_castilla_mancha,pernoc_cataluña,pernoc_valencia,pernoc_extremadura,pernoc_galicia,pernoc_madrid,pernoc_murcia,pernoc_navarra,pernoc_paisvasco,pernoc_rioja,pernoc_ceuta,pernoc_melilla
2024M07,08 Barcelona,100,6.96,2.51,0.61,2.34,1.47,0.81,1.54,1.32,48.05,5.44,0.73,2.17,18.75,0.82,1.34,4.12,0.71,0.11,0.2,100,6.4,2.46,0.73,1.95,1.32,0.99,1.82,1.22,48.63,4.82,0.66,2.68,17.74,0.76,1.94,4.86,0.72,0.09,0.21
2024M07,17 Girona,100,1.67,1.78,0.46,0.74,0.35,0.28,1.63,0.73,76.58,2.42,0.23,0.98,7.5,0.28,1.15,2.85,0.23,0.05,0.06,100,1.53,2.31,0.68,0.74,0.29,0.48,2.3,0.96,71.88,2.3,0.29,1.29,8.07,0.22,2.02,4.2,0.35,0.05,0.05
2024M07,46 Valencia/València,100,12.29,3.35,0.81,1.69,0.79,0.6,4.26,7.71,9.42,18.28,1.06,1.32,29.88,3.38,0.81,3.2,0.45,0.59,0.12,100,9.05,3.64,1.03,1.33,0.68,0.58,6.43,9.08,6.43,14.92,1.17,1.48,34.47,3.23,1,4.25,0.52,0.66,0.06
2024M07,28 Madrid,100,14.4,2.28,2.72,2.1,3.47,1.67,4.84,2.93,12.64,8.56,2.38,4.74,26.64,3.08,1.47,4.33,0.84,0.79,0.12,100,14.97,1.97,2.58,2.03,3.88,1.7,4.31,2.74,12.17,7.99,2.12,4.39,28.72,2.94,1.33,4.36,0.8,0.89,0.12
2024M06,29 Málaga,100,48.44,0.71,0.89,2.93,1.17,0.59,2,4.88,5.61,2.79,2.16,2.28,18.78,1.27,0.44,2.55,0.32,1.13,1.03,100,42.8,1.2,1.78,3.8,1.52,0.84,3.27,5.04,4.52,2.43,3.02,2.57,19.62,1.08,0.59,3.76,0.43,0.92,0.81
2024M06,41 Sevilla,100,42.16,1.11,1.33,1.19,1.87,1.11,3.21,2.82,7.67,5.13,4.35,2.55,19.78,1.35,0.74,2.59,0.5,0.52,0.03,100,37.83,1.23,1.56,1.37,2.24,1.3,3.32,2.93,8.58,5.61,3.7,3.68,20.43,1.39,0.79,2.87,0.63,0.5,0.03
2024M06,"07 Balears, Illes",100,9.62,0.96,1.95,32.19,1.7,0.71,2.01,1.18,16.26,7.24,0.59,2.38,16.7,1.52,0.96,2.9,0.36,0.7,0.04,100,10.47,0.96,2.23,32,1.55,0.76,3.14,1.22,14.04,6.56,0.52,2.65,16.7,2.03,0.81,3.31,0.29,0.72,0.04
2024M06,08 Barcelona,100,5.99,2.5,0.76,1.8,1.48,0.47,1.67,1.96,45.93,5.89,0.67,2.45,21.07,1.01,1.39,3.97,0.61,0.08,0.29,100,5.63,2.48,0.78,1.72,1.45,0.48,1.96,2,46.86,5.4,0.67,2.52,19.55,1.03,1.69,4.88,0.62,0.07,0.24
2024M06,17 Girona,100,1.34,1.28,0.26,0.55,0.35,0.35,0.77,0.9,81.24,2.14,0.13,0.82,5.13,0.76,0.51,3.21,0.13,0.13,0,100,1.35,1.61,0.44,0.56,0.38,0.97,1.23,0.92,77.04,2.33,0.31,0.98,5.22,0.69,1.01,4.64,0.18,0.15,0
2024M06,46 Valencia/València,100,11.82,2.58,0.75,1.56,0.71,0.41,3.92,5.63,9.12,21.89,0.73,1.31,31.58,3.11,0.71,2.64,0.48,1.02,0.02,100,8.93,2.46,0.99,1.44,0.77,0.46,5.88,7.25,7.42,18.63,0.73,1.62,34.66,2.68,0.98,3.45,0.63,1.02,0.01
