periodo;pais_origen;viajeros;pernoctaciones
2023M02;Japón;19051;41741
2023M02;Asia (sin Japón);;
2023M01;Total;5367962;15472477
2023M01;Residentes en España;2964949;5810812
2023M01;Residentes en el Extranjero;2403013;9661665
2023M01;Alemania;237872;1527076
2023M01;Austria;18615;95171
2023M01;Bélgica;59982;293555
2023M01;Dinamarca;36103;208137
2023M01;Finlandia;29444;175225
2023M01;Francia;224999;634540
2023M01;Grecia;8761;26684
2023M01;Irlanda;52740;267148
2023M01;Italia;171322;541879
2023M01;Luxemburgo;4329;25938
2023M01;Países Bajos;104460;432709
2023M01;Polonia;54889;239561
2023M01;Portugal;82766;163786
2023M01;República Checa;11655;41228
2023M01;Suecia;61837;356138
2023M01;Resto de la U.E.;83204;271388
2023M01;Noruega;35622;216925
2023M01;Reino Unido;358996;2120727
2023M01;Rusia;;
2023M01;Suiza;32016;133371
2023M01;Otros Países Europeos;103993;358726
2023M01;África;58152;136874
2023M01;UE28 sin España;1601974;7420891
2023M01;UE27_2020 sin España;1242977;5300164
2023M01;Resto del Mundo;168982;406918
2023M01;América (sin EEUU);235376;572576
2023M01;Estados Unidos de América;122304;324555
2023M01;Japón;13433;28375
2023M01;Asia (sin Japón);;
2022M12;Total;6054556;16627833
2022M12;Residentes en España;3567132;7121128
2022M12;Residentes en el Extranjero;2487423;9506705
2022M12;Alemania;236239;1461766
2022M12;Austria;18129;78147
2022M12;Bélgica;59495;285934
2022M12;Dinamarca;29667;162968
2022M12;Finlandia;31494;191414
2022M12;Francia;272172;713753
2022M12;Grecia;9732;28878
2022M12;Irlanda;44892;215052
2022M12;Italia;156910;443467
2022M12;Luxemburgo;5050;25228
2022M12;Países Bajos;84441;355202
2022M12;Polonia;42348;187748
