,periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext,provincia_simp,id,estancia_media_total,estancia_media_esp,estancia_media_ext,year,month,iso_date
125,2023M07,28 Madrid,1111137,548761,562376,2189610,936220,1253390,Madrid,2023M07_Madrid,1.9706030849481206,1.70606147302742,2.2287402022845924,2023,7,2023-07-01
126,2023M06,29 Málaga,618969,246981,371988,2222614,595536,1627078,Málaga,2023M06_Málaga,3.5908324972656143,2.4112624048003695,4.374006688387797,2023,6,2023-06-01
127,2023M06,41 Sevilla,325922,163255,162667,618585,264895,353690,Sevilla,2023M06_Sevilla,1.897954111719982,1.6225843006339775,2.1743193149194364,2023,6,2023-06-01
128,2023M06,"07 Balears, Illes",1814007,244635,1569372,8993003,889859,8103144,Illes Balears,2023M06_Illes Balears,4.957534893746275,3.637496678725448,5.1633035379756995,2023,6,2023-06-01
129,2023M06,08 Barcelona,1263049,330907,932142,3300032,632369,2667663,Barcelona,2023M06_Barcelona,2.6127505742057515,1.9110172948895008,2.8618633212536286,2023,6,2023-06-01
130,2023M06,17 Girona,514135,239930,274205,1490213,485185,1005028,Girona,2023M06_Girona,2.8984858062571113,2.022193973242196,3.6652431574916577,2023,6,2023-06-01
131,2023M06,46 Valencia/València,352828,212128,140700,823690,471584,352106,Valencia,2023M06_Valencia,2.3345369415125785,2.2231105747473223,2.502530206112296,2023,6,2023-06-01
132,2023M06,28 Madrid,1163021,615801,547220,2239681,1010384,1229297,Madrid,2023M06_Madrid,1.9257442470944204,1.640763818181523,2.2464401885895984,2023,6,2023-06-01
133,2023M05,29 Málaga,624905,183084,441821,2152554,405516,1747038,Málaga,2023M05_Málaga,3.444609980717069,2.2149177426754934,3.9541760124575336,2023,5,2023-05-01
134,2023M05,41 Sevilla,352514,167518,184996,692027,281827,410200,Sevilla,2023M05_Sevilla,1.9631191952660036,1.682368461896632,2.217345239897079,2023,5,2023-05-01
135,2023M05,"07 Balears, Illes",1492772,195761,1297010,7258921,644969,6613952,Illes Balears,2023M05_Illes Balears,4.862712457093247,3.2946756504104493,5.099383967741189,2023,5,2023-05-01
136,2023M05,08 Barcelona,1251693,339829,911864,3187797,649336,2538461,Barcelona,2023M05_Barcelona,2.546788230021259,1.9107727710113027,2.783815349657405,2023,5,2023-05-01
137,2023M05,17 Girona,443609,146828,296780,1217666,294462,923204,Girona,2023M05_Girona,2.7449082412665207,2.005489416187648,3.1107352247456026,2023,5,2023-05-01
138,2023M05,46 Valencia/València,326274,178828,147446,750754,383981,366773,Valencia,2023M05_Valencia,2.3009924174160368,2.1472084908403604,2.487507290804769,2023,5,2023-05-01
139,2023M05,28 Madrid,1117578,567796,549782,2224662,951054,1273608,Madrid,2023M05_Madrid,1.9906100513789642,1.6749924268575334,2.316569112848365,2023,5,2023-05-01
140,2023M04,29 Málaga,601632,211742,389890,1965338,500061,1465277,Málaga,2023M04_Málaga,3.2666779692569543,2.3616523882838547,3.7581805124522303,2023,4,2023-04-01
141,2023M04,41 Sevilla,351424,168951,182473,726702,313102,413601,Sevilla,2023M04_Sevilla,2.067878118739756,1.8532118780001303,2.266642188159344,2023,4,2023-04-01
142,2023M04,"07 Balears, Illes",766096,109541,656555,3350022,297000,3053023,Illes Balears,2023M04_Illes Balears,4.37284883356655,2.7113135720871635,4.650064351044467,2023,4,2023-04-01
143,2023M04,08 Barcelona,1102659,298082,804577,2882769,616293,2266476,Barcelona,2023M04_Barcelona,2.6143794228315373,2.0675283982259915,2.816978362543299,2023,4,2023-04-01
144,2023M04,17 Girona,414955,192039,222915,1037458,385678,651780,Girona,2023M04_Girona,2.5001698979407405,2.0083316409687617,2.9238947580916492,2023,4,2023-04-01
145,2023M04,46 Valencia/València,333301,194351,138949,792604,426191,366413,Valencia,2023M04_Valencia,2.3780426701390036,2.1928932704231006,2.637032292423839,2023,4,2023-04-01
146,2023M04,28 Madrid,1077543,566092,511451,2247895,1028904,1218991,Madrid,2023M04_Madrid,2.086130205476719,1.8175561569497538,2.38339743201206,2023,4,2023-04-01
147,2023M03,29 Málaga,463698,200193,263505,1368261,425355,942906,Málaga,2023M03_Málaga,2.9507588991110594,2.1247246407217038,3.578322991973587,2023,3,2023-03-01
148,2023M03,41 Sevilla,314817,166958,147858,643519,307168,336351,Sevilla,2023M03_Sevilla,2.0441049879771422,1.839792043507948,2.2748244937710504,2023,3,2023-03-01
149,2023M03,"07 Balears, Illes",230407,62568,167839,944911,173879,771032,Illes Balears,2023M03_Illes Balears,4.101051617355376,2.779040404040404,4.593878657522984,2023,3,2023-03-01
150,2023M03,08 Barcelona,953261,312242,641018,2347803,603748,1744055,Barcelona,2023M03_Barcelona,2.4629172912769954,1.9335899718807847,2.720758231438119,2023,3,2023-03-01
151,2023M03,17 Girona,187875,100350,87525,415967,190360,225607,Girona,2023M03_Girona,2.2140625415834996,1.8969606377678128,2.577629248786061,2023,3,2023-03-01
152,2023M03,46 Valencia/València,305012,189978,115034,662350,380411,281939,Valencia,2023M03_Valencia,2.1715539060758267,2.0023950141595344,2.450918858772189,2023,3,2023-03-01
153,2023M03,28 Madrid,1053885,582240,471645,2040209,975377,1064832,Madrid,2023M03_Madrid,1.9358933849518685,1.6752146881011267,2.2576980568011957,2023,3,2023-03-01
