,periodo,pais_origen,viajeros,pernoctaciones,estancia_media,year,month,iso_date
222,2024M06,Japón,37250.0,71862.0,1.9291812080536912,2024,6,2024-06-01
223,2024M06,Asia (sin Japón),,,,2024,6,2024-06-01
224,2024M05,Total,11768411.0,35701080.0,3.0336364017198245,2024,5,2024-05-01
225,2024M05,Residentes en España,4928517.0,10623796.0,2.1555766166577084,2024,5,2024-05-01
226,2024M05,Residentes en el Extranjero,6839894.0,25077285.0,3.666326554183442,2024,5,2024-05-01
227,2024M05,Alemania,938592.0,4679079.0,4.985210826429375,2024,5,2024-05-01
228,2024M05,Austria,77343.0,275395.0,3.5606971542350307,2024,5,2024-05-01
229,2024M05,Bélgica,152758.0,669474.0,4.382578981133558,2024,5,2024-05-01
230,2024M05,Dinamarca,54953.0,224753.0,4.089913198551489,2024,5,2024-05-01
231,2024M05,Finlandia,28980.0,119642.0,4.128433402346446,2024,5,2024-05-01
232,2024M05,Francia,807894.0,2408540.0,2.981257442189198,2024,5,2024-05-01
233,2024M05,Grecia,16915.0,45805.0,2.7079515223174697,2024,5,2024-05-01
234,2024M05,Irlanda,187539.0,834469.0,4.449575821562449,2024,5,2024-05-01
235,2024M05,Italia,318920.0,870893.0,2.7307569296375265,2024,5,2024-05-01
236,2024M05,Luxemburgo,11642.0,52960.0,4.549046555574644,2024,5,2024-05-01
237,2024M05,Países Bajos,294016.0,1317658.0,4.481586036134088,2024,5,2024-05-01
238,2024M05,Polonia,147440.0,635901.0,4.3129476397178514,2024,5,2024-05-01
239,2024M05,Portugal,163039.0,368470.0,2.2600114083133485,2024,5,2024-05-01
240,2024M05,República Checa,37660.0,143096.0,3.7996813595326606,2024,5,2024-05-01
241,2024M05,Suecia,76343.0,313346.0,4.104449654847203,2024,5,2024-05-01
242,2024M05,Resto de la U.E.,181732.0,604591.0,3.3268274161952767,2024,5,2024-05-01
243,2024M05,Noruega,46066.0,195409.0,4.241935483870968,2024,5,2024-05-01
244,2024M05,Reino Unido,1362521.0,6727915.0,4.937843159848545,2024,5,2024-05-01
245,2024M05,Rusia,,,,2024,5,2024-05-01
246,2024M05,Suiza,117609.0,416899.0,3.544788238995315,2024,5,2024-05-01
247,2024M05,Otros Países Europeos,184333.0,573307.0,3.110170181139568,2024,5,2024-05-01
248,2024M05,África,71841.0,175594.0,2.444203170891274,2024,5,2024-05-01
249,2024M05,UE28 sin España,4858287.0,20291987.0,4.176778152464027,2024,5,2024-05-01
250,2024M05,UE27_2020 sin España,3495766.0,13564072.0,3.8801430072836682,2024,5,2024-05-01
251,2024M05,Resto del Mundo,359002.0,765034.0,2.131002055698854,2024,5,2024-05-01
252,2024M05,América (sin EEUU),505456.0,1154750.0,2.28457076382514,2024,5,2024-05-01
253,2024M05,Estados Unidos de América,548908.0,1235243.0,2.2503643597834246,2024,5,2024-05-01
254,2024M05,Japón,37934.0,73489.0,1.937285812200137,2024,5,2024-05-01
255,2024M05,Asia (sin Japón),,,,2024,5,2024-05-01
256,2024M04,Total,9386103.0,27099375.0,2.887180654207609,2024,4,2024-04-01
257,2024M04,Residentes en España,4181084.0,8884448.0,2.1249149742028623,2024,4,2024-04-01
258,2024M04,Residentes en el Extranjero,5205019.0,18214927.0,3.4994928933016385,2024,4,2024-04-01
259,2024M04,Alemania,638213.0,3173927.0,4.973146896098951,2024,4,2024-04-01
260,2024M04,Austria,52790.0,180398.0,3.4172759992422805,2024,4,2024-04-01
261,2024M04,Bélgica,136465.0,567835.0,4.161030300809731,2024,4,2024-04-01
262,2024M04,Dinamarca,48251.0,211984.0,4.393359723114547,2024,4,2024-04-01
263,2024M04,Finlandia,31247.0,153349.0,4.907639133356803,2024,4,2024-04-01
264,2024M04,Francia,629551.0,1810575.0,2.875978276581246,2024,4,2024-04-01
265,2024M04,Grecia,15092.0,39844.0,2.640074211502783,2024,4,2024-04-01
266,2024M04,Irlanda,136786.0,555977.0,4.064575322035881,2024,4,2024-04-01
267,2024M04,Italia,302203.0,815504.0,2.698530458003395,2024,4,2024-04-01
268,2024M04,Luxemburgo,11021.0,51774.0,4.697758824063152,2024,4,2024-04-01
269,2024M04,Países Bajos,218788.0,800419.0,3.6584227654167503,2024,4,2024-04-01
270,2024M04,Polonia,112932.0,415012.0,3.674884000991747,2024,4,2024-04-01
271,2024M04,Portugal,177491.0,414060.0,2.3328506797527764,2024,4,2024-04-01
272,2024M04,República Checa,31040.0,103079.0,3.3208440721649484,2024,4,2024-04-01
273,2024M04,Suecia,71704.0,319171.0,4.451230056900592,2024,4,2024-04-01
274,2024M04,Resto de la U.E.,160365.0,497421.0,3.1018052567580208,2024,4,2024-04-01
275,2024M04,Noruega,44259.0,206647.0,4.669039065500802,2024,4,2024-04-01
276,2024M04,Reino Unido,861943.0,4205971.0,4.879639372905169,2024,4,2024-04-01
277,2024M04,Rusia,,,,2024,4,2024-04-01
278,2024M04,Suiza,106366.0,377703.0,3.5509749355997218,2024,4,2024-04-01
279,2024M04,Otros Países Europeos,159725.0,453193.0,2.837332915949288,2024,4,2024-04-01
280,2024M04,África,60679.0,152146.0,2.5073913545048536,2024,4,2024-04-01
281,2024M04,UE28 sin España,3635880.0,14316301.0,3.9375064633596266,2024,4,2024-04-01
282,2024M04,UE27_2020 sin España,2773937.0,10110329.0,3.6447579739554286,2024,4,2024-04-01
283,2024M04,Resto del Mundo,300003.0,638384.0,2.1279253874127924,2024,4,2024-04-01
284,2024M04,América (sin EEUU),364968.0,869388.0,2.3820937726047213,2024,4,2024-04-01
285,2024M04,Estados Unidos de América,400853.0,962398.0,2.40087513377722,2024,4,2024-04-01
286,2024M04,Japón,32947.0,65484.0,1.9875557713904148,2024,4,2024-04-01
287,2024M04,Asia (sin Japón),,,,2024,4,2024-04-01
288,2024M03,Total,8433226.0,24520234.0,2.907574633953839,2024,3,2024-03-01
289,2024M03,Residentes en España,4412670.0,9421644.0,2.135134510398466,2024,3,2024-03-01
290,2024M03,Residentes en el Extranjero,4020556.0,15098591.0,3.7553490114302597,2024,3,2024-03-01
291,2024M03,Alemania,544724.0,2988329.0,5.485950683281809,2024,3,2024-03-01
292,2024M03,Austria,44892.0,175027.0,3.898846119575871,2024,3,2024-03-01
293,2024M03,Bélgica,96694.0,397927.0,4.115322563964672,2024,3,2024-03-01
294,2024M03,Dinamarca,59173.0,312051.0,5.273536917175063,2024,3,2024-03-01
295,2024M03,Finlandia,42542.0,259651.0,6.1034036951718305,2024,3,2024-03-01
296,2024M03,Francia,344693.0,947890.0,2.749954307166087,2024,3,2024-03-01
297,2024M03,Grecia,14709.0,47870.0,3.254470052348902,2024,3,2024-03-01
298,2024M03,Irlanda,89912.0,403321.0,4.485730492036658,2024,3,2024-03-01
299,2024M03,Italia,242774.0,689604.0,2.840518342161846,2024,3,2024-03-01
300,2024M03,Luxemburgo,6342.0,28907.0,4.558025859350363,2024,3,2024-03-01
301,2024M03,Países Bajos,137899.0,548953.0,3.980833798649736,2024,3,2024-03-01
302,2024M03,Polonia,84928.0,337971.0,3.9795002825923134,2024,3,2024-03-01
303,2024M03,Portugal,122916.0,252192.0,2.0517426535194767,2024,3,2024-03-01
304,2024M03,República Checa,24630.0,91955.0,3.733455136012992,2024,3,2024-03-01
305,2024M03,Suecia,73995.0,386929.0,5.229123589431718,2024,3,2024-03-01
306,2024M03,Resto de la U.E.,132228.0,411370.0,3.1110657349426747,2024,3,2024-03-01
307,2024M03,Noruega,53490.0,321027.0,6.001626472237802,2024,3,2024-03-01
308,2024M03,Reino Unido,689776.0,3429706.0,4.972202570109717,2024,3,2024-03-01
309,2024M03,Rusia,,,,2024,3,2024-03-01
310,2024M03,Suiza,67218.0,236051.0,3.511723050373412,2024,3,2024-03-01
311,2024M03,Otros Países Europeos,132694.0,417999.0,3.1500972161514462,2024,3,2024-03-01
312,2024M03,África,42332.0,111547.0,2.6350514976849664,2024,3,2024-03-01
313,2024M03,UE28 sin España,2752827.0,11709654.0,4.253683213656362,2024,3,2024-03-01
314,2024M03,UE27_2020 sin España,2063051.0,8279948.0,4.013448043698387,2024,3,2024-03-01
315,2024M03,Resto del Mundo,228303.0,488906.0,2.141478648988406,2024,3,2024-03-01
316,2024M03,América (sin EEUU),318762.0,795450.0,2.4954354659589284,2024,3,2024-03-01
317,2024M03,Estados Unidos de América,313915.0,799937.0,2.5482598792666806,2024,3,2024-03-01
